Safeguard name_l1,Criteria_l2,Interpretation_l3,Criteria_number_l4,Indicator_name_l5,Indicator type,Mean of verification,Column,Indicator table,Allias,Column 4,Column 5,Column 6,Column 7
Safeguard B,B1. Accountability and Transparency,"Accountability measures enshrined in the relevant PLRs, including those intended to tackle corruption, are expected to be applied. All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour",B1.2,A. Breakdown of PRAP/REDD+ funding and expenditure available and displayed on website (Y/N),Process,PRAP Mid-term/Final Implementation Report on DARD/PPC website,,,,,,,
Safeguard B,B1. Accountability and Transparency,"Accountability measures enshrined in the relevant PLRs, including those intended to tackle corruption, are expected to be applied. All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour",B1.2,B. Measures to reduce/avoid corruption/elite capture: provincial record from Database on Fighting Corruption?,Process,,,,,,,,
Safeguard B,B1. Accountability and Transparency,"Accountability measures enshrined in the relevant PLRs, including those intended to tackle corruption, are expected to be applied. All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour",B1.2,"B. Measures to reduce/avoid corruption/elite capture: results on any PaMs that tackle transparency/accountability in forest sector (e.g. cases of illegal logging prosecuted):  Equitable participation in FPIC processes (linked indicator, ie can use in multiple places)",Process,,,,,,,,
Safeguard B,B1. Accountability and Transparency,"Accountability measures enshrined in the relevant PLRs, including those intended to tackle corruption, are expected to be applied. All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour",B1.2,"C. No. complaints received and number addressed through GRM that relate to issues of accountability, corruption control, elite capture.",Output,From GRM reporting – disaggregation by basic complaint type would be needed,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Rule of Law: All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour established in Viet Nam’s legal framework.,B2.1,N/A,,,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.2,"A. Forest Land Allocation completed, by owner type:- total hectares by owner type",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.2,"A. Forest Land Allocation completed, by owner type:- - % of FLA target reached",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,"A. Forest Land Allocation completed, by owner type:- - For community tenure, total no. communities receiving tenure, total ha allocated to communities, no. of EM communities",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,"B. No. Forest land use right certificates, by: Total no. of certificates issued in reporting period",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,"B. No. Forest land use right certificates, by: % of certificates by a) EM status, b) HH poverty status c) omen’s names",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,D. No. forest LURCs under ‘in conflict’ and number resolved in the reporting period,Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,E. Forest area (ha) contracted through forest protection contracts: Total ha contracted to communities (disaggregated by ha contracted to EM communities),Impact,PFMS/FORMIS?,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,"E. Forest area (ha) contracted through forest protection contracts: Total ha contracted to HHs (disaggregated by EM status, poverty status and female headed HHs, compared to their proportion in population )",Impact,PFMS/FORMIS?,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,"F. Co-management arrangements: Number of new co-management arrangements established, and area covered (ha)",Output,Co-management group decision / plans (SSO submitted documents),,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,"F. Co-management arrangements: Number of existing co-management arrangements strengthened (no. of plans and areas covered in ha): Number of communities participating in co-management arrangements (as a proportion of total number of communities in REDD+ areas, C1.2 A)",Output,Co-management group decision / plans (SSO submitted documents),,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,H. Implementation of FPIC processes: Number of FPIC processes completed with documentation submitted to PSO,Output,SEE SG C,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,H. Implementation of FPIC processes: Number of FPIC processes where support is confirmed by communities (as proportion of total number of FPIC processes carried out),Output,SEE SG C,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.",B2.3,I. No. complaints received and addressed that relate to issues of rights to land/resources (disaggregated by EM / gender status of complainants if possible),Output,From GRM reporting – disaggregation by basic complaint type would be needed,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods",B2.3,A. No. of Community Benefit-sharing agreements : Total number of agreements,Output,Community benefit-sharing agreements,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods",B2.3,A. No. of Community Benefit-sharing agreements : Number of HHs covered by agreements (and proportion of EM households),Output,Community benefit-sharing agreements,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods",B2.3,"Benefit sharing outcomes (i.e. funds transferred, recipients etc )",Output,Community benefit-sharing agreements,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods",B2.3,B. No. households with forest protection contracts,Output,SAME AS INDICATOR ABOVE – B2.2 F (incl disaggregation as above),,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods",B2.3,C. Benefit sharing outcomes through PFES: Number of recipients of PFES payments in province,Impact,PFES reporting/database,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Equitable benefit sharing: Recognition of the role of forests and sharing of benefits in terms of rural development and poverty reduction, in particular for ethnic minorities and other groups that are dependent on forest lands and resources for their livelihoods",B2.3,C. Benefit sharing outcomes through PFES: Hectares covered by PFES arrangements: Total amount of PFES payments disbursed in reporting period,Impact,,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,B2.4,A. Gender representation/participation information collected via other indicators:,Process/output,Linked to other indicators,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,B2.4,B1.1 D;,Process/output,Linked to other indicators,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,B2.4,"B2.2 B, C, F, I",Process/output,Linked to other indicators,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,B2.4,"B. GSO provincial level statistics for latest year available: Women in forest sector employment or if not available, in agriculture & forest sector employment",Context,Provincial Statistics Office,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,B2.4,B. GSO provincial level statistics for latest year available: Gender Development Index by provinceGender Inequality Index by province,Context,Provincial Statistics Office,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Gender equality is expected to be addressed and respected throughout the implementation of the NRAP and PRAPs,B2.4,C. Implementation of FPIC processes: Percentage of FPIC processes completed with documentation submitted to PSO where target on female participation was achieved,Process,FPIC monitoring forms – PSO to compile figure from these forms,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management",B2.5,A. Provincial REDD+ Steering Committee established (Y/N),Process/Output,PPC Decision,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management",B2.5,B. Cross sector REDD+ coordination meetings:  Number of meetings held and total number of participants,Process,"PSO monitoring (provincial meetings) - Participant lists, minutes",,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management",B2.5,"B. Cross sector REDD+ coordination meetings: Breakdown of PSC membership: sectors represented (e.g. inclusion of planning, finance, construction, welfare, etc)",Process,"PSO monitoring (provincial meetings) - Participant lists, minutes",,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management",B2.5,C. Number of integrated planning arrangements (may differ depending on REDD+ intervention packages):  Number of district/provincial integrated master plans completed following Integrated Planning Law (2017),Output,DPI / Overall REDD+ M&E for implementation of interventions,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,"Cross-sectoral coordination between related ministries and agencies, including those in the land and forest sectors, is important, and the legal framework defines mechanisms and institutional arrangements to support this, including clear lines of communication between and across sectors and levels of government for forest management",B2.5,"C. Number of integrated planning arrangements (may differ depending on REDD+ intervention packages): Number of cross-sector platforms/partnerships established (e.g. for coffee, rubber, shrimp or other commodity production)",Output,DPI / Overall REDD+ M&E for implementation of interventions,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Access to justice: The relevant dispute and conflict resolution mechanisms are expected to be available to stakeholders throughout the implementation of the proposed REDD+ actions under the NRAP and PRAPs to address any disputes arising from their implementation.,B2.6,A. GRM for REDD+ is established / operational down to commune/village level in all REDD+ areas (Y/N),Process,PSO,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Access to justice: The relevant dispute and conflict resolution mechanisms are expected to be available to stakeholders throughout the implementation of the proposed REDD+ actions under the NRAP and PRAPs to address any disputes arising from their implementation.,B2.6,"A. Number of grievances received, and number resolved, disaggregated by: Type/category of grievance",Process/output,GRM reporting / SSOs?,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Access to justice: The relevant dispute and conflict resolution mechanisms are expected to be available to stakeholders throughout the implementation of the proposed REDD+ actions under the NRAP and PRAPs to address any disputes arising from their implementation.,B2.6,"A. Number of grievances received, and number resolved, disaggregated by: Type of complainant (e.g. EM status, gender, poverty status)",Process/output,"OTHER GRM INDICATORS SHOULD LINK TO THIS ONE, I.E. B2.6 A IS THE MASTER INFDICTATOR.",,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,,,,Process/output,,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,Stakeholder engagement: Recognition of the right to participate in REDD+ planning and implementation,B2.7,Covered under safeguard (d),Process/output,,,,,,,,
Safeguard C,C1. Recognition of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C1.1,N/A – National level policies (address),,,,,,,,,
Safeguard C,C1. Recognition of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C1.2,A. Local communities and ethnic minorities affected by REDD+: No. of villages/communities in all REDD+ areas in province (total no.),Context,Screening Forms / FPIC Forms,,,,,,,
Safeguard C,C1. Recognition of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C1.2,A. Local communities and ethnic minorities affected by REDD+: No. of HHs in REDD+ areas,Context,Screening Forms / FPIC Forms,,,,,,,
Safeguard C,C1. Recognition of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C1.2,A. Local communities and ethnic minorities affected by REDD+:  No. of EM HHs in REDD+ areas,Context,Screening Forms / FPIC Forms,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C2.1,B. No. of community agreements (huong/quy u’oc) including customary institutions: No. of existing arrangements improved,Output,Community agreements / PSO,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C2.3,B. No. of community agreements (huong/quy u’oc) including customary institutions:  No of new arrangements established,Output,Community agreements / PSO,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C2.4,B. No. of community agreements (huong/quy u’oc) including customary institutions:  Hectares of forest covered,Output,Community agreements / PSO,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C2.6,IS THIS DIFFERENT TO CO-MANAGEMENT ARRGTS UNDER B2.2?,Output,Community agreements / PSO,,,,,,,
Safeguard C,C2. Respect for the knowledge and rights of ethnic minorities and local communities,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C2.7,"Number of REDD+ interventions (out of the total number) that support traditional forest management practices / knowledge (e.g. NTFPs, medicinal plants, water management, etc)",Process,PSO – calculate from PRAP/REDD+ plan,,,,,,,
Safeguard C,C3.,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C3.1 Rights to land/resources,Indicators related to EM access to land and resources – based on disaggregated data from: - B2.2 B,Impact,PFMS/FORMIS,,,,,,,
Safeguard C,C3.,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C3.1 Rights to land/resources,Indicators related to EM access to land and resources – based on disaggregated data from:- B2.2 D,Impact,PFMS/FORMIS,,,,,,,
Safeguard C,C3.,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C3.1 Rights to land/resources,Indicators related to EM access to land and resources – based on disaggregated data from:- B2.2 F,Impact,PFMS/FORMIS,,,,,,,
Safeguard C,C3.,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C3.1 Rights to land/resources,-Indicators related to EM access to land and resources – based on disaggregated data from: B2.3 A,Impact,PFMS/FORMIS,,,,,,,
Safeguard C,C.4 Rights to complain,"The understanding, experience and initiatives of ethnic minorities and of local communities, built up over a long period of time and transmitted from generation to generation, and the rights of ethnic minorities and local communities as defined in the Constitution and other relevant PLRs, are to be respected throughout the implementation of REDD+ actions under the PRAPs",C4.1,LINK TO B2.6,Process,GRM monitoring forms,,,,,,,
Safebuard D,D1,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",D1.1/D1.2 Relevant Stakeholders,A. REDD+ Stakeholders identified: - Stakeholder mapping completed (and shared/published?) (Y/N),Process/context,PRAP/REDD+ Stakeholders List (e.g. in PRAP) - PSO,,,,,,,
Safebuard D,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",D2.1/D2.2 Participation,B. Participation in REDD+ planning and consultation processes – B1.1.D,Process,Meeting reports/participant lists,,,,,,,
Safebuard D,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,C. FPIC processes – B1.1 E and B2.2 H,Process,FPIC monitoring forms,,,,,,,
Safebuard D,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,D. Participation in REDD+ implementation & monitoring:,Output,Co-management agreements,,,,,,,
Safebuard D,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,D. Participation in REDD+ implementation & monitoring: - B 2.2 G,Output,Co-management agreements,,,,,,,
Safebuard D,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,"E. Number of REDD+ interventions (out of total) that include stakeholder capacity building activities, and number of participants in capacity-building",Process,PRAP/REDD+ plan document,,,,,,,
Safebuard D,D2,"Adequate mechanisms to ensure the full and effective participation of all relevant stakeholders (in particular of ethnic minorities and local communities) are to be developed and implemented during the preparation of the NRAP and PRAPs, and throughout the implementation of the proposed REDD+ actions contained therein",,"F. Number of training courses related to REDD+ capacity building held in the province, and number/type of participants (including by gender)",Process,PRAP/REDD+ plan document,,,,,,,
Safeguard E,E1. Overall/ Consistency with conservation of natural forests and biodiversity,"REDD+ activities will not be used for the conversion of natural forests. Development and implementation of the PRAPs will be consistent with the natural forest protection and biodiversity conservation provisions of Viet Nam’s legal framework. Assessing the potential environmental impacts, positive and negative, of proposed REDD+ PaMs, and designing and implementing PaMs to support natural forest protection and biodiversity conservation, will be key to ensuring this consistency. REDD+ PaMs are expected to include the provision of monetary and/or non-monetary benefits to populations living in or around forest areas targeted for intervention to encourage their conservation, restoration and sustainable management by these local populations. Proposed REDD+ PaMs will be assessed and designed in way that they promote ecological, biological, climatic, socio-cultural and economic benefits throughout the implementation of REDD",,A. Negative checklists applied to all interventions (Y/N),Process,Negative checklists (PSO),,,,,,,
