Safeguard name_l1,Criteria_l2,Criteria_l2_VN,Interpretation_l3,Interpretation_l3_VN,Criteria_number_l4,Indicator_name_l5,Indicator_name_l5_vn,Indicator type,Mean of verification,Column,Indicator table,Allias,Column 4,Column 5,Column 6,Column 7
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Accountability measures enshrined in the relevant PLRs, including those intended to tackle corruption, are expected to be applied. All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour","các biện pháp trách nhiệm giải trình được nêu trong PLRs có liên quan, bao gồm cả những dự định để giải quyết tham nhũng, dự kiến ​​sẽ được áp dụng. Tất cả các cơ quan công cộng dự kiến ​​sẽ hành động phù hợp với nhiệm vụ hợp pháp của họ và làm theo các quy tắc của hành vi",B1.2,A. Breakdown of PRAP/REDD+ funding and expenditure available and displayed on website (Y/N),A. Breakdown của Prap / REDD + kinh phí và chi tiêu có sẵn và hiển thị trên trang web (Y / N),Process,PRAP Mid-term/Final Implementation Report on DARD/PPC website,,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Accountability measures enshrined in the relevant PLRs, including those intended to tackle corruption, are expected to be applied. All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour","các biện pháp trách nhiệm giải trình được nêu trong PLRs có liên quan, bao gồm cả những dự định để giải quyết tham nhũng, dự kiến ​​sẽ được áp dụng. Tất cả các cơ quan công cộng dự kiến ​​sẽ hành động phù hợp với nhiệm vụ hợp pháp của họ và làm theo các quy tắc của hành vi",B1.2,B. Measures to reduce/avoid corruption/elite capture: provincial record from Database on Fighting Corruption?,B. Các biện pháp để giảm / tham nhũng tránh / ưu tú chụp: kỷ lục tỉnh từ cơ sở dữ liệu về chống tham nhũng?,Process,,,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Accountability measures enshrined in the relevant PLRs, including those intended to tackle corruption, are expected to be applied. All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour","các biện pháp trách nhiệm giải trình được nêu trong PLRs có liên quan, bao gồm cả những dự định để giải quyết tham nhũng, dự kiến ​​sẽ được áp dụng. Tất cả các cơ quan công cộng dự kiến ​​sẽ hành động phù hợp với nhiệm vụ hợp pháp của họ và làm theo các quy tắc của hành vi",B1.2,"B. Measures to reduce/avoid corruption/elite capture: results on any PaMs that tackle transparency/accountability in forest sector (e.g. cases of illegal logging prosecuted): Equitable participation in FPIC processes (linked indicator, ie can use in multiple places)","B. Các biện pháp để giảm / tránh tham nhũng / chụp ưu tú: kết quả trên bất kỳ PAMS rằng giải quyết minh bạch / trách nhiệm giải trình trong ngành lâm nghiệp (trường hợp ví dụ của khai thác trái phép bị truy tố): công bằng việc tham gia vào quá trình FPIC (chỉ số liên kết, tức là có thể sử dụng ở nhiều nơi)",Process,,,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Accountability measures enshrined in the relevant PLRs, including those intended to tackle corruption, are expected to be applied. All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour","các biện pháp trách nhiệm giải trình được nêu trong PLRs có liên quan, bao gồm cả những dự định để giải quyết tham nhũng, dự kiến ​​sẽ được áp dụng. Tất cả các cơ quan công cộng dự kiến ​​sẽ hành động phù hợp với nhiệm vụ hợp pháp của họ và làm theo các quy tắc của hành vi",B1.2,"C. No. complaints received and number addressed through GRM that relate to issues of accountability, corruption control, elite capture.","C. số khiếu nại nhận được và số quyết thông qua GRM có liên quan đến các vấn đề về trách nhiệm giải trình, kiểm soát tham nhũng, chụp ưu tú.",Output,From GRM reporting – disaggregation by basic complaint type would be needed,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,Rule of Law: All public agencies are expected to act in accordance with their legal mandates and to follow the rules of behaviour established in Viet Nam’s legal framework.,Quy tắc của Luật: Tất cả các cơ quan công cộng dự kiến ​​sẽ hành động phù hợp với nhiệm vụ hợp pháp của họ và làm theo các quy tắc của hành vi thành lập trong khuôn khổ pháp lý của Việt Nam.,B2.1,N/A,N / A,,,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.2,"A. Forest Land Allocation completed, by owner type:- total hectares by owner type","Phân bổ A. đất lâm nghiệp đã hoàn thành, theo loại chủ sở hữu: - Tổng ha theo loại chủ sở hữu",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.2,"A. Forest Land Allocation completed, by owner type:- - % of FLA target reached","Phân bổ A. đất lâm nghiệp đã hoàn thành, theo loại chủ sở hữu: - -% của FLA mục tiêu đạt",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,"A. Forest Land Allocation completed, by owner type:- - For community tenure, total no. communities receiving tenure, total ha allocated to communities, no. of EM communities","Phân bổ A. đất lâm nghiệp đã hoàn thành, theo loại chủ sở hữu: - - Đối với nhiệm kỳ cộng đồng, tổng số không. cộng đồng nhận nhiệm kỳ, tổng ha giao cho cộng đồng, không có. của các cộng đồng DTTS",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,"B. No. Forest land use right certificates, by: Total no. of certificates issued in reporting period","Giấy chứng nhận quyền sử dụng đất B. số Forest, bởi: Tổng số không. Giấy chứng nhận được cấp trong kỳ báo cáo",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,"B. No. Forest land use right certificates, by: % of certificates by a) EM status, b) HH poverty status c) omen’s names","Giấy chứng nhận quyền sử dụng đất B. số Forest, bởi:% giấy chứng nhận bởi a) tình trạng EM, b) HH nghèo tình trạng c) tên điềm của",Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,D. No. forest LURCs under ‘in conflict’ and number resolved in the reporting period,D. số GCNQSDĐ rừng dưới ‘mâu thuẫn’ và số được giải quyết trong giai đoạn báo cáo,Impact,PFMS/FORMIS,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,E. Forest area (ha) contracted through forest protection contracts: Total ha contracted to communities (disaggregated by ha contracted to EM communities),khu vực E. rừng (ha) đã ký hợp đồng thông qua hợp đồng bảo vệ rừng: Tổng ha ký hợp đồng để cộng đồng (chia theo ha ký hợp đồng để cộng đồng DTTS),Impact,PFMS/FORMIS?,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,"E. Forest area (ha) contracted through forest protection contracts: Total ha contracted to HHs (disaggregated by EM status, poverty status and female headed HHs, compared to their proportion in population )","khu vực E. rừng (ha) đã ký hợp đồng thông qua hợp đồng bảo vệ rừng: Tổng số Hà ký hợp đồng cho các hộ (phân theo tình trạng EM, tình trạng đói nghèo và hộ chủ hộ là nữ, so với tỷ lệ của họ trong dân số)",Impact,PFMS/FORMIS?,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,"F. Co-management arrangements: Number of new co-management arrangements established, and area covered (ha)","sắp xếp F. Đồng quản lý: Số mới sắp xếp đồng quản lý xây dựng, và diện tích che phủ (ha)",Output,Co-management group decision / plans (SSO submitted documents),,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,"F. Co-management arrangements: Number of existing co-management arrangements strengthened (no. of plans and areas covered in ha): Number of communities participating in co-management arrangements (as a proportion of total number of communities in REDD+ areas, C1.2 A)","sắp xếp F. Đồng quản lý: Số lượng các thỏa thuận đồng quản lý hiện tăng cường (không kế hoạch và các khu vực được đề cập trong ha.): Số lượng các cộng đồng tham gia vào các thỏa thuận đồng quản lý (như là một tỷ lệ tổng số cộng đồng trong REDD + khu vực, C1 .2 A)",Output,Co-management group decision / plans (SSO submitted documents),,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,H. Implementation of FPIC processes: Number of FPIC processes completed with documentation submitted to PSO,H. Thực hiện quá trình FPIC: Số FPIC các quá trình hoàn thành với các tài liệu nộp cho PSO,Output,SEE SG C,,,,,,,
Safeguard B,B2. Effective Forest Governance Structures,B2. Cơ cấu quản lý rừng hiệu quả,"Rights to use land and forest land: In the context of REDD+ in Viet Nam, this means that there is a clear regulatory framework defining ownership, management, access to and use of forests that is implemented in practice towards achieving reduced deforestation/forest degradation and enhancement of forest carbon stocks. Governance arrangements are expected to be appropriate, fair and equitable, ensuring that poor and vulnerable forest-dependent communities in particular are not further marginalised nor excluded from lands and forest lands and are enabled to access benefits from forests.","Quyền sử dụng đất và đất rừng: Trong bối cảnh REDD + tại Việt Nam, phương tiện này rằng có một khung pháp lý rõ ràng xác định quyền sở hữu, quản lý, truy cập và sử dụng rừng được thực hiện trong thực tế để đạt được giảm nạn phá rừng / suy thoái rừng và nâng cao trữ lượng các bon rừng. sắp xếp quản lý được dự kiến ​​sẽ được phù hợp, công bằng và công bằng, đảm bảo rằng các cộng đồng nghèo và dễ bị tổn thương phụ thuộc vào rừng nói riêng không tiếp tục bị thiệt thòi cũng không loại trừ khỏi các vùng đất và đất lâm nghiệp và được kích hoạt để lợi ích truy cập từ rừng.",B2.3,H. Implementation of FPIC processes: Number of FPIC processes where support is confirmed by communities (as proportion of total number of FPIC processes carried out),H. Thực hiện quá trình FPIC: Số FPIC xử lý nơi hỗ trợ được xác nhận bởi cộng đồng (như tỷ lệ của tổng số FPIC các quá trình thực hiện),Output,SEE SG C,,,,,,,
